                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 0.0951,                0.31169,                0.90949,                 0.9552,                0.96376,                0.98708,                0.97616,                0.24906,                0.31402,                 0.4184,              0.0057925,              0.0057925,              0.0057925
                     36,                0.09879,                0.30228,                0.91509,                0.87592,                0.92404,                0.96199,                0.92363,                0.30125,                0.41481,                0.48453,              0.0056688,              0.0056688,              0.0056688
                     37,                0.09785,                0.30239,                 0.9113,                0.91207,                0.95711,                0.99103,                0.98791,                0.17867,                0.34988,                0.34848,               0.005545,               0.005545,               0.005545
                     38,                0.09203,                0.29021,                0.91292,                0.88773,                0.91931,                0.98003,                 0.9763,                0.18474,                0.35984,                0.37079,              0.0054212,              0.0054212,              0.0054212
                     39,                0.09227,                0.29151,                0.91035,                0.96165,                0.97007,                0.98984,                0.98779,                0.20653,                0.29566,                0.38041,              0.0052975,              0.0052975,              0.0052975
                     40,                0.08779,                0.28253,                0.90985,                0.96753,                0.97278,                0.99068,                0.98074,                0.18222,                0.30124,                0.37495,              0.0051737,              0.0051737,              0.0051737
                     41,                 0.0891,                0.29118,                0.90604,                0.94992,                0.94339,                0.98489,                0.97796,                0.16128,                0.32271,                0.33577,                0.00505,                0.00505,                0.00505
                     42,                0.08626,                0.28468,                0.90438,                0.97202,                0.92431,                 0.9825,                0.97832,                0.17372,                0.34738,                0.35387,              0.0049263,              0.0049263,              0.0049263
                     43,                 0.0865,                0.28109,                0.90306,                0.96155,                0.94179,                0.98859,                0.98569,                0.20813,                0.32155,                0.38087,              0.0048025,              0.0048025,              0.0048025
                     44,                0.08566,                0.28372,                0.90845,                0.93947,                0.97532,                 0.9897,                0.98527,                0.18948,                0.29972,                0.34765,              0.0046788,              0.0046788,              0.0046788
                     45,                0.08362,                0.28535,                0.91148,                0.95277,                0.96666,                0.98983,                 0.9825,                0.23342,                0.32763,                0.43424,               0.004555,               0.004555,               0.004555
                     46,                0.07903,                0.26985,                0.90476,                0.95126,                0.96428,                 0.9901,                0.98713,                0.19665,                0.36083,                0.39116,              0.0044313,              0.0044313,              0.0044313
                     47,                0.08113,                0.27028,                0.90668,                 0.9643,                0.96479,                0.99058,                0.98512,                0.16071,                0.26563,                0.34232,              0.0043075,              0.0043075,              0.0043075
                     48,                0.07751,                0.26777,                0.91208,                0.93522,                0.90319,                 0.9808,                0.96847,                0.17781,                0.38086,                0.34399,              0.0041837,              0.0041837,              0.0041837
                     49,                0.07733,                0.26149,                 0.9092,                0.93705,                0.95308,                0.99027,                0.98782,                0.14427,                 0.3187,                0.31857,                0.00406,                0.00406,                0.00406
                     50,                0.07486,                0.24826,                0.90744,                0.94762,                0.95034,                0.98422,                0.97737,                0.18145,                0.32975,                0.34821,              0.0039362,              0.0039362,              0.0039362
                     51,                0.07353,                0.26615,                0.90353,                0.92871,                0.94659,                0.98545,                0.97967,                0.23161,                0.36622,                 0.4213,              0.0038125,              0.0038125,              0.0038125
                     52,                0.07163,                0.25176,                0.90617,                0.96505,                0.95147,                0.99046,                 0.9832,                0.19812,                0.27961,                0.33551,              0.0036888,              0.0036888,              0.0036888
                     53,                0.07232,                0.23928,                0.90958,                0.94337,                0.96213,                0.98414,                0.97797,                0.27039,                0.46358,                0.40026,               0.003565,               0.003565,               0.003565
                     54,                0.06983,                0.22832,                0.90741,                 0.9678,                0.97204,                0.99103,                0.98916,                0.19323,                0.29679,                0.35148,              0.0034413,              0.0034413,              0.0034413
