                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.0733,                 1.0664,                 1.6246,                0.78257,                0.21875,                0.30095,                 0.1241,                 2.0527,                 3.2533,                  3.411,              0.0059163,              0.0059163,              0.0059163
                     35,                0.97408,                 1.0179,                 1.5498,                0.79951,                0.32812,                0.39908,                0.20681,                   1.58,                 3.1012,                 2.9451,              0.0057925,              0.0057925,              0.0057925
                     36,                0.96508,                 1.0076,                 1.5425,                0.80001,                 0.4375,                0.43245,                0.23685,                 1.6003,                 3.0045,                 3.0548,              0.0056688,              0.0056688,              0.0056688
                     37,                0.94024,                  1.023,                 1.5298,                0.68334,                  0.375,                0.35595,                0.16382,                 1.6326,                 3.0543,                 3.2081,               0.005545,               0.005545,               0.005545
                     38,                0.97333,                  1.004,                 1.5713,                 0.7381,                0.32812,                 0.3489,                0.17589,                 1.6956,                 2.8849,                  3.102,              0.0054212,              0.0054212,              0.0054212
                     39,                0.95492,                 0.9746,                 1.4992,                 0.7957,                0.31671,                0.38095,                0.22992,                 1.3962,                 2.7629,                 2.7359,              0.0052975,              0.0052975,              0.0052975
                     40,                0.97612,                0.98131,                 1.5535,                0.85769,                0.34375,                0.42003,                0.24185,                 1.3718,                 2.8115,                 2.6083,              0.0051737,              0.0051737,              0.0051737
                     41,                0.93519,                0.90967,                 1.4956,                0.74124,                0.32812,                0.32525,                0.18992,                 1.3006,                 2.9175,                 2.5541,                0.00505,                0.00505,                0.00505
                     42,                 1.0151,                 1.0154,                 1.5964,                0.60532,                0.20312,                0.15556,                0.06828,                 1.6655,                 3.0159,                 3.2931,              0.0049263,              0.0049263,              0.0049263
                     43,                 1.0038,                  1.022,                 1.5515,                0.71162,                0.17188,                0.22061,                0.10413,                 1.2797,                 2.9735,                 2.5524,              0.0048025,              0.0048025,              0.0048025
                     44,                0.91458,                0.88374,                 1.4793,                0.70995,                0.29688,                  0.287,                0.14075,                 1.2979,                 2.8772,                 2.5585,              0.0046788,              0.0046788,              0.0046788
